,Open,Close,High,Low,Volume,NumOfTrade
198,43084.29,43071.66,43475.0,42581.79,20602.35271,732171.0
199,43071.66,42201.62,43176.18,41540.42,27562.08613,918029.0
200,42201.63,42352.12,42691.0,41250.0,29324.08257,905061.0
201,42352.12,41660.01,42559.13,41138.56,31685.72159,924528.0
202,41660.0,40680.91,43505.0,40553.31,42330.33953,1098761.0
203,40680.92,36445.31,41100.0,35440.45,88860.891999,2092561.0
204,36445.31,35071.42,36835.22,34008.0,90471.338961,2099978.0
205,35071.42,36244.55,36499.0,34601.01,44279.52354,1142407.0
206,36244.55,36660.35,37550.0,32917.17,91904.753211,1999352.0
207,36660.35,36958.32,37545.14,35701.0,49232.40183,1248246.0
208,36958.32,36809.34,38919.98,36234.63,69830.16036,1584468.0
209,36807.24,37160.1,37234.47,35507.01,53020.87934,1308408.0
210,37160.11,37716.56,38000.0,36155.01,42154.26956,1061101.0
211,37716.57,38166.84,38720.74,37268.44,26129.49682,816601.0
212,38166.83,37881.76,38359.26,37351.63,21430.66527,698593.0
213,37881.75,38466.9,38744.0,36632.61,36855.2458,936014.0
214,38466.9,38694.59,39265.2,38000.0,34574.44663,917617.0
215,38694.59,36896.36,38855.92,36586.95,35794.6813,907905.0
216,36896.37,37311.61,37387.0,36250.0,32081.10999,848961.0
217,37311.98,41574.25,41772.33,37026.73,64703.95874,1380724.0
218,41571.7,41382.59,41913.69,40843.01,32532.34372,1006352.0
219,41382.6,42380.87,42656.0,41116.56,22405.16704,788291.0
220,42380.87,43839.99,44500.5,41645.85,51060.62006,1473274.0
221,43839.99,44042.99,45492.0,42666.0,64880.29387,1653350.0
222,44043.0,44372.72,44799.0,43117.92,34428.16729,1066395.0
223,44372.71,43495.44,45821.0,43174.01,62357.29091,1541483.0
224,43495.44,42373.73,43920.0,41938.51,44975.1687,1169354.0
225,42373.73,42217.87,43079.49,41688.88,26556.85681,830322.0
226,42217.87,42053.66,42760.0,41870.0,17732.08113,624898.0
227,42053.65,42535.94,42842.4,41550.56,34010.1306,867622.0
228,42535.94,44544.86,44751.4,42427.03,38095.19576,990694.0
229,44544.85,43873.56,44549.97,43307.0,28471.8727,823745.0
230,43873.56,40515.7,44164.71,40073.21,47245.99494,1067658.0
231,40515.71,39974.44,40959.88,39450.0,43845.92241,1025882.0
232,39974.45,40079.17,40444.32,39639.03,18042.0551,586653.0
233,40079.17,38386.89,40125.44,38000.0,33439.29011,811235.0
234,38386.89,37008.16,39494.35,36800.0,62347.68496,1352290.0
235,37008.16,38230.33,38429.0,36350.0,53785.94589,1212527.0
236,38230.33,37250.01,39249.93,37036.79,43560.732,1030872.0
237,37250.02,38327.21,39843.0,34322.28,120476.29458,2622780.0
238,38328.68,39219.17,39683.53,38014.37,56574.57125,1408558.0
239,39219.16,39116.72,40348.45,38573.18,29361.2568,924257.0
240,39116.73,37699.07,39855.7,37000.0,46229.44719,1265753.0
241,37699.08,43160.0,44225.84,37450.17,73945.63858,1931087.0
242,43160.0,44421.2,44949.0,42809.98,61743.09873,1866871.0
243,44421.2,43892.98,45400.0,43334.09,57782.65081,1653131.0
244,43892.99,42454.0,44101.12,41832.28,50940.61021,1289320.0
245,42454.0,39148.66,42527.3,38550.0,61964.68498,1465066.0
246,39148.65,39397.96,39613.24,38407.59,30363.13341,879727.0
247,39397.97,38420.81,39693.87,38088.57,39677.26158,986352.0
248,38420.8,37988.0,39547.57,37155.0,63941.20316,1454770.0
249,37988.01,38730.63,39362.08,37867.65,55528.43367,1269742.0
250,38730.63,41941.71,42594.06,38656.45,67392.58799,1570230.0
251,41941.7,39422.0,42039.63,38539.73,71950.25677,1512384.0
252,39422.01,38729.57,40236.26,38223.6,59018.7642,1252571.0
253,38729.57,38807.36,39486.71,38660.52,24034.36432,671733.0
254,38807.35,37777.34,39310.0,37578.51,32791.82359,841844.0
255,37777.35,39671.37,39947.12,37555.0,46945.45375,1114899.0
256,39671.37,39280.33,39887.61,38098.33,46015.54926,1060517.0
257,39280.33,41114.0,41718.0,38828.48,88120.76167,2051837.0
258,41114.01,40917.9,41478.82,40500.0,37189.38087,935784.0
259,40917.89,41757.51,42325.02,40135.04,45408.00969,1065054.0
260,41757.51,42201.13,42400.0,41499.29,29067.18108,801197.0
261,42201.13,41262.11,42296.26,40911.0,30653.33468,799695.0
262,41262.11,41002.25,41544.22,40467.94,39426.24877,947206.0
263,41002.26,42364.13,43361.0,40875.51,59454.94294,1367343.0
264,42364.13,42882.76,43025.96,41751.47,40828.87039,916671.0
265,42882.76,43991.46,44220.89,42560.46,56195.12374,1202541.0
266,43991.46,44313.16,45094.14,43579.0,54614.43648,1141588.0
267,44313.16,44511.27,44792.99,44071.97,23041.61741,693647.0
268,44511.27,46827.76,46999.0,44421.46,41874.91071,1135096.0
269,46827.76,47122.21,48189.84,46663.56,58949.2614,1498975.0
270,47122.21,47434.8,48096.47,46950.85,36772.28457,1095678.0
271,47434.79,47067.99,47700.22,46445.42,40947.2085,1081607.0
272,47067.99,45510.34,47600.0,45200.0,48645.12667,1290541.0
273,45510.35,46283.49,46720.09,44200.0,56271.06474,1372216.0
274,46283.49,45811.0,47213.0,45620.0,37073.53582,1056716.0
275,45810.99,46407.35,47444.11,45530.92,33394.67794,966563.0
276,46407.36,46580.51,46890.71,45118.0,44641.87514,1171998.0
277,46580.5,45497.55,47200.0,45353.81,42192.74852,1046080.0
278,45497.54,43170.47,45507.14,43121.0,60849.32936,1471912.0
279,43170.47,43444.19,43900.99,42727.35,37396.54156,999816.0
280,43444.2,42252.01,43970.62,42107.14,42375.04203,1108136.0
281,42252.02,42753.97,42800.0,42125.48,17891.66047,640230.0
282,42753.96,42158.85,43410.3,41868.0,22771.09403,678983.0
283,42158.85,39530.45,42414.71,39200.0,63560.44721,1385924.0
284,39530.45,40074.94,40699.0,39254.63,57751.01778,1153667.0
285,40074.95,41147.79,41561.31,39588.54,41342.27254,948061.0
286,41147.78,39942.38,41500.0,39551.94,36807.01401,803756.0
287,39942.37,40551.9,40870.36,39766.4,24026.35739,616536.0
288,40551.9,40378.71,40709.35,39991.55,15805.44718,423446.0
289,40378.7,39678.12,40595.67,39546.17,19988.49259,590241.0
290,39678.11,40801.13,41116.73,38536.51,54243.49575,1157741.0
291,40801.13,41493.18,41760.0,40571.0,35788.85843,934526.0
292,41493.19,41358.19,42199.0,40820.0,40877.35041,1063843.0
293,41358.19,40480.01,42976.0,39751.0,59316.27657,1515456.0
294,40480.01,39709.18,40795.06,39177.0,46664.0196,1043471.0
295,39709.19,39441.6,39980.0,39285.0,20291.42375,724132.0
296,39441.61,39450.13,39940.0,38929.62,26703.61186,868183.0
297,39450.12,40426.08,40616.0,38200.0,63037.12784,1280351.0
298,40426.08,38112.65,40797.31,37702.26,66650.258,1381618.0
299,38112.64,39235.72,39474.72,37881.31,57083.12272,1232083.0
300,39235.72,39742.07,40372.63,38881.43,56086.6715,1135242.0
301,39742.06,38596.11,39925.25,38175.0,51453.65715,1101140.0
302,38596.11,37630.8,38795.38,37578.2,35321.18989,1017369.0
303,37630.8,38468.35,38675.0,37386.38,38812.24104,1021157.0
304,38468.35,38525.16,39167.34,38052.0,53200.92628,1053893.0
305,38525.16,37728.95,38651.51,37517.8,40316.45358,1005131.0
306,37728.95,39690.0,40023.77,37670.0,62574.61736,1238847.0
307,39690.0,36552.97,39845.51,35571.9,88722.43355,1979692.0
308,36552.97,36013.77,36675.63,35258.0,68437.80187,1214518.0
309,36013.77,35472.39,36146.3,34785.0,34281.70682,746488.0
310,35472.4,34038.4,35514.22,33713.95,72445.64344,1301451.0
311,34038.39,30076.31,34243.15,30033.33,191876.926428,2564538.0
312,30074.23,31017.1,32658.99,29730.4,165532.00311,2470325.0
313,31017.11,29103.94,32162.59,27785.0,207063.739278,3559270.0
314,29103.94,29029.75,30243.0,26700.0,204507.263138,3951233.0
315,29029.74,29287.05,31083.37,28751.67,97872.36957,2051900.0
316,29287.05,30086.74,30343.27,28630.0,51095.87863,1204626.0
317,30086.74,31328.89,31460.0,29480.0,46275.66912,1016769.0
318,31328.89,29874.01,31328.9,29087.04,73082.19658,1561954.0
319,29874.01,30444.93,30788.37,29450.38,56724.13307,1175382.0
320,30444.93,28715.32,30709.99,28654.47,59749.15799,1379212.0
321,28715.33,30319.23,30545.18,28691.38,67877.36415,1860780.0
322,30319.22,29201.01,30777.33,28730.0,60517.25325,1694004.0
323,29201.01,29445.06,29656.18,28947.28,20987.13124,643486.0
324,29445.07,30293.94,30487.99,29255.11,36158.98748,862880.0
325,30293.93,29109.15,30670.51,28866.35,63901.49932,1328317.0
326,29109.14,29654.58,29845.86,28669.0,59442.96036,946421.0
327,29654.58,29542.15,30223.74,29294.21,59537.38659,985440.0
328,29542.14,29201.35,29886.64,28019.56,94581.65463,1431112.0
329,29201.35,28629.8,29397.66,28282.9,90998.5201,1321406.0
330,28629.81,29031.33,29266.0,28450.0,34479.35127,684423.0
331,29031.33,29468.1,29587.78,28839.21,27567.34764,635311.0
332,29468.1,31734.22,32222.0,29299.62,96785.9476,1380410.0
333,31734.23,31801.04,32399.0,31200.01,62433.11632,1161340.0
334,31801.05,29805.83,31982.97,29301.0,103395.63382,1404611.0
335,29805.84,30452.62,30689.0,29594.55,56961.42928,1086183.0
336,30452.63,29700.21,30699.0,29282.36,54067.44727,993769.0
337,29700.21,29864.04,29988.88,29485.0,25617.90113,618037.0
338,29864.03,29919.21,30189.0,29531.42,23139.9281,604680.0
339,29919.2,31373.1,31765.64,29890.23,68836.92456,1124745.0
340,31373.1,31125.33,31589.6,29218.96,110674.51658,1743957.0
341,31125.32,30204.77,31327.22,29843.88,68542.61276,1236327.0
342,30204.77,30109.93,30700.0,29944.1,46291.1865,841562.0
343,30109.93,29091.88,30382.8,28850.0,76204.2498,1258608.0
344,29091.87,28424.7,29440.41,28099.99,65901.39895,1084163.0
345,28424.71,26574.53,28544.96,26560.0,92474.598809,1451271.0
346,26574.53,22487.41,26895.84,21925.77,254611.034966,3261484.0
347,22485.27,22136.41,23362.88,20846.0,187201.64671,2583151.0
348,22136.42,22583.72,22800.0,20111.62,200774.493467,2847831.0
349,22583.72,20401.31,22995.73,20232.0,99673.59429,1690477.0
350,20400.6,20468.81,21365.43,20246.66,86694.33663,1352992.0
351,20468.81,18970.79,20792.06,17622.0,196441.655524,2467372.0
352,18970.79,20574.0,20815.95,17960.41,128320.87595,1950660.0
353,20574.0,20573.89,21090.0,19637.03,109028.94154,1639448.0
354,20573.9,20723.52,21723.0,20348.4,104371.0749,1515321.0
355,20723.51,19987.99,20900.0,19770.51,92133.97938,1394981.0
356,19988.0,21110.13,21233.0,19890.07,83127.08716,1207858.0
357,21110.12,21237.69,21558.41,20736.72,77430.36622,1309709.0
358,21237.68,21491.19,21614.5,20906.62,51431.67794,874540.0
359,21491.18,21038.07,21888.0,20964.73,53278.10464,885306.0
360,21038.08,20742.56,21539.85,20510.0,64475.0013,1002214.0
361,20742.57,20281.29,21212.1,20202.01,63801.0832,1064497.0
362,20281.28,20123.01,20432.31,19854.92,77309.04379,1210636.0
363,20123.0,19942.21,20179.08,18626.0,93846.64806,1438163.0
364,19942.21,20457.13,20918.35,19658.97,21691.05035,269842.0
